HAR Statistics Dataset							
DESCRIPTION	"Tables of experimental observations collected by wearable device. For collection methodology and processing see ""COLLECTION METHODOLOGY"" in the README.md file  "						
							
Column Number	Variable Name	Measurement of / Description	Direction 	Statistic used in Variable	Unit of Measurement*	Time Series	Frequency Domain Signal
1	obs	Observation identification number (primary key)					
2	tbodylinearaccelmeanx	Body linear acceleration	along X-axis	Mean	distance / second squared	TRUE	FALSE
3	tbodylinearaccelmeany	Body linear acceleration	along Y-axis	Mean	distance / second squared	TRUE	FALSE
4	tbodylinearaccelmeanz	Body linear acceleration	along Z-axis	Mean	distance / second squared	TRUE	FALSE
5	tbodylinearaccelstdx	Body linear acceleration	along X-axis	Standard deviation	distance / second squared	TRUE	FALSE
6	tbodylinearaccelstdy	Body linear acceleration	along Y-axis	Standard deviation	distance / second squared	TRUE	FALSE
7	tbodylinearaccelstdz	Body linear acceleration	along Z-axis	Standard deviation	distance / second squared	TRUE	FALSE
8	tgravitylinearaccelmeanx	Gravity linear acceleration	along X-axis	Mean	distance / second squared	TRUE	FALSE
9	tgravitylinearaccelmeany	Gravity linear acceleration	along Y-axis	Mean	distance / second squared	TRUE	FALSE
10	tgravitylinearaccelmeanz	Gravity linear acceleration	along Z-axis	Mean	distance / second squared	TRUE	FALSE
11	tgravitylinearaccelstdx	Gravity linear acceleration	along X-axis	Standard deviation	distance / second squared	TRUE	FALSE
12	tgravitylinearaccelstdy	Gravity linear acceleration	along Y-axis	Standard deviation	distance / second squared	TRUE	FALSE
13	tgravitylinearaccelstdz	Gravity linear acceleration	along Z-axis	Standard deviation	distance / second squared	TRUE	FALSE
14	tbodylinearacceljerkmeanx	Body linear acceleration jerk	along X-axis	Mean	distance / second squared	TRUE	FALSE
15	tbodylinearacceljerkmeany	Body linear acceleration jerk	along Y-axis	Mean	distance / second squared	TRUE	FALSE
16	tbodylinearacceljerkmeanz	Body linear acceleration jerk	along Z-axis	Mean	distance / second squared	TRUE	FALSE
17	tbodylinearacceljerkstdx	Body linear acceleration jerk	along X-axis	Standard deviation	distance / second squared	TRUE	FALSE
18	tbodylinearacceljerkstdy	Body linear acceleration jerk	along Y-axis	Standard deviation	distance / second squared	TRUE	FALSE
19	tbodylinearacceljerkstdz	Body linear acceleration jerk	along Z-axis	Standard deviation	distance / second squared	TRUE	FALSE
20	tbodyangularvelocitymeanx	Body angualr velocity	along X-axis	Mean	distance / second squared	TRUE	FALSE
21	tbodyangularvelocitymeany	Body angualr velocity	along Y-axis	Mean	distance / second squared	TRUE	FALSE
22	tbodyangularvelocitymeanz	Body angualr velocity	along Z-axis	Mean	distance / second squared	TRUE	FALSE
23	tbodyangularvelocitystdx	Body angualr velocity	along X-axis	Standard deviation	distance / second squared	TRUE	FALSE
24	tbodyangularvelocitystdy	Body angualr velocity	along Y-axis	Standard deviation	distance / second squared	TRUE	FALSE
25	tbodyangularvelocitystdz	Body angualr velocity	along Z-axis	Standard deviation	distance / second squared	TRUE	FALSE
